本田系列						
进口本田CD5	F22B4 2.0L	14400-PT0-004	正时带	113XR24	95-98款	机盖打：16V 适用
		99365-21100	风扇冷气带	5PK1100		
		99363-50760	助力泵带	3PK760		
佳美2.0L 	5S-FE	13568-09041	正时带	163S8M27		
		99365-81110	风扇冷气带	5pk1110		
		99363-20750	助力泵带	3pk750		
佳美2.4L	2AZ-FE	90916-02598	电/助/空	7pk1930		
特锐1.3L			风扇带	4PK1645		
			助力泵带	3PK640		
皇冠JZS133	2JZ	13568-49036	正时带	143MY25		
		90916-02310	电/助/空	6PK1940		
皇冠JZS155	1JZ	13568-49025	正时带	137MY25		
		90916-02412	电/助/空	6PK1930		
普瑞维亚2.4L	2AZ-FE		电/助/空	7pk1905		时归链条
普瑞维亚3.5L	2GR-FE		电/助/空	7PK1550		时归链条
普拉多2.7L	2TR-FE		电/助/空	7PK2280		时归链条
埃尔杰	2GR-FE		电/助/空	7PK1550		时归链条
兰德酷路泽4.0L	1GR-FE		电/助/空	7PK2120		GRJ200
兰德酷路泽4.6	1UR		电/助/空	8PK2410		时归链条
RAV4 2.4L	2AZ-FE		电/助/空	7PK1935		时归链条
逸致 1.8L	3ZR-FE		电/助/空	6PK1245		时归链条
逸致 1.6L	1ZR-FE		电/助/空	6PK1230		时归链条
雅力士1.5L	3SZ		风扇冷气带	4PK1180	01-06款	时归链条
			助力泵带	3PK850		
凌志系列						
GX460 4.6L	 3URFE	90916-02680	电/助/空	8PK2410	2010款-	时归链条
GX450 3.5L	2GR-FE	90916-A2010	电/助/空	7PK2090	2010款-	时归链条
1	2GR-FE		电/助/空	7PK2090	2010款-	时归链条
ES240	2GR-FE		电/助/空	7PK2090	2010-	时归链条
RX270 2.7L	1AR-FE		电/助/空	6PK1265	2011款-	时归链条
GSV40 	2GR-FE		电/助/空	7PK2090	06-09款	时归链条
RX350 3.5L	2GR-FE		电/助/空	7PK2070	2011款-	时归链条
LX570	 3URFE		电/助/空	8PK2410	08款-	时归链条
LS460 4.6L	1UZ		电/助/空	6PK2100	2010款-	时归链条
RX300	3MZ		正时带	211XY32		
			风扇带	6PK1040		
			助力泵带	4PK880		
LS400 	1UZFU		正时带	209S8M34		
			电/助/空	6PK2245		
佳美3.0L VCV10	3VZ		正时带	191S8M32		
			风扇冷气带	6PK1050		
			助力泵带	4PK805		
凌志IS200	1G-FE		正时带	129MY27		
			风扇带	4PK1070		
			冷气带	4PK900		
			助力泵带	3PK890		
丰田4700	1UZ-FE	老款	电/助/空	6PK2200		
		新款	电/助/空	6PK2240		
			正时带	211S8M34		
ES300 MCV10	1MZ		正时带	211XY32	MCU25	
			风扇冷气带	6PK1035		
		90080-91088	助力泵带	4PK880		
考斯特 TRB53 3.5L	2TR-FE	90916-02639	风扇带	7PK1870	时归链条	
		99365-H0990	冷气带	5PK990		
沙漠王子HZB50	1HZ	13568-19065	正时带	94MR25		
		90916-02452	风扇带	1395	风扇两条共用	
		90916-02451	冷气带	1545	冷气两条共用	
考斯特 老款-98	14B	90916-02227	冷气带	1440	两条共用	
		90916-02215	风扇带	1480	两条共用	
考斯特04款	14B	90916-02227	冷气带	1440	两条共用	
		90916-02375	风扇带	1515	两条共用	
考斯特	3RZ-FE	99365-20980	风扇带	5PK980	时归链条	
		99365-80890	冷气带	5PK890		
		99364-81100	助力泵带	4PK1100		
考斯特4.2D		99367-C1350	风扇带	7PK1350	93款	
大霸王ACR30	2AZ-FE	90916-02493	电/助/空	7PK1920	01-06款	
大霸王ACR50	2AZ-FE	90916-02652	电/助/空	7PK1905	08款-	
大霸王TCR10		99366-70820	风扇带	6PK820	时归链条	
		99364-20720	冷气带	4PK720		
考斯特	15B	90916-02444	风扇带	1455	两条共用	
		9001-45568A	冷气带	6505   /90038-39016	两条共用	
红杉 5.7L	3UR-FE	90916-A2023	电/助/空	8PK2410	时归链条	
杰路驰 2.5L	2AR-FE		电/助/空	6PK1250	时归链条	
埃尔杰2.4	2AR-FE		电/助/空	6PK1250	时归链条	
GS300				6PK1930		
			
